"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1"
"8300","727 YISHUN ST 71",1.42621011729954,103.831240144634,165,"Yishun",1.42944308477331,103.835005047246,552.326094605475
"8301","728 ANG MO KIO AVE 6",1.37262841608628,103.845682928938,35,"Ang Mo Kio",1.36993284962262,103.84955809232,525.380467504677
"8302","728 CLEMENTI WEST ST 2",1.30494405274186,103.763968436378,285,"Clementi",1.31511625277378,103.765191452888,1140.51499209029
"8303","728 JURONG WEST AVE 5",1.34609924869822,103.697696360087,126,"Pioneer",1.33758701106708,103.697321608474,948.495310806246
"8304","728 TAMPINES ST 71",1.35622572265317,103.934838867632,98,"Tampines",1.34551530560119,103.938436971222,1257.72398152354
"8305","728 WOODLANDS CIRCLE",1.44288020200672,103.798887777863,155,"Admiralty",1.44058856161847,103.800990519771,346.172119451181
"8306","728 YISHUN ST 71",1.4257896294341,103.830526963765,158,"Yishun",1.42944308477331,103.835005047246,643.235193004945
"8307","729 ANG MO KIO AVE 6",1.3738661404098,103.845935822176,75,"Ang Mo Kio",1.36993284962262,103.84955809232,595.159602100983
"8308","729 CLEMENTI WEST ST 2",1.30492724290307,103.763519401903,218,"Clementi",1.31511625277378,103.765191452888,1149.39848770969
"8309","729 JURONG WEST AVE 5",1.34641262878569,103.697839347889,97,"Pioneer",1.33758701106708,103.697321608474,984.151405957708
"8310","729 TAMPINES ST 71",1.35644099036712,103.934139023776,99,"Tampines",1.34551530560119,103.938436971222,1306.9148664457
"8311","729 WOODLANDS CIRCLE",1.44259053537399,103.798580792917,128,"Admiralty",1.44058856161847,103.800990519771,348.680779919117
"8312","729 YISHUN ST 71",1.4258528493391,103.831598317323,128,"Yishun",1.42944308477331,103.835005047246,550.872855457619
"8313","73 C'WEALTH DR",1.30002714811722,103.796591839602,4,"Commonwealth",1.30250199924325,103.798228523336,330.269007013474
"8314","73 GEYLANG BAHRU",1.32264236942866,103.870596516216,215,"Geylang Bahru",1.32130110228321,103.871622627142,187.973130045762
"8315","73 LOR 4 TOA PAYOH",1.33432001132262,103.851714329027,185,"Toa Payoh",1.33262928096888,103.847502198048,505.137971944123
"8316","73 MARINE DR",1.30380541604563,103.908362369014,100,"Eunos",1.31978354916088,103.903225807255,1868.28193704878
"8317","73 TELOK BLANGAH HTS",1.27573843980494,103.80918938464,83,"Telok Blangah",1.27070647717762,103.809761611219,563.764034480752
"8318","730 CLEMENTI WEST ST 2",1.304777153125,103.763121970707,130,"Clementi",1.31511625277378,103.765191452888,1173.76096577597
"8319","730 JURONG WEST ST 72",1.3461088638108,103.698426985603,71,"Pioneer",1.33758701106708,103.697321608474,956.591143772455
